.Louisiana	"4,544,996"	"4,575,404"	"4,603,429"	"4,626,402"	"4,647,880"	"4,668,960"	4681666	1.45%
.Maine	"1,327,730"	"1,328,231"	"1,328,895"	"1,329,076"	"1,330,719"	"1,329,453"	1331479	0.41%
.Maryland	"5,788,584"	"5,843,603"	"5,889,651"	"5,931,129"	"5,967,295"	"5,994,983"	6016447	1.86%
.Massachusetts	"6,565,524"	"6,611,923"	"6,658,008"	"6,706,786"	"6,749,911"	"6,784,240"	6811779	2.11%
.Michigan	"9,877,495"	"9,876,213"	"9,887,238"	"9,898,982"	"9,915,767"	"9,917,715"	9928300	3.07%
.Minnesota	"5,311,147"	"5,348,562"	"5,380,285"	"5,418,521"	"5,453,109"	"5,482,435"	5519952	1.71%
.Mississippi	"2,970,322"	"2,978,162"	"2,984,945"	"2,990,482"	"2,992,400"	"2,989,390"	2988726	0.92%
.Missouri	"5,996,118"	"6,010,717"	"6,025,415"	"6,042,711"	"6,060,930"	"6,076,204"	6093000	1.89%
.Montana	"990,641"	"997,821"	"1,005,196"	"1,014,314"	"1,022,867"	"1,032,073"	1042520	0.32%
.Nebraska	"1,830,051"	"1,842,283"	"1,855,725"	"1,868,559"	"1,881,145"	"1,893,765"	1907116	0.59%
.Nevada	"2,703,284"	"2,718,379"	"2,752,565"	"2,786,464"	"2,833,013"	"2,883,758"	2940058	0.91%
.New Hampshire	"1,316,872"	"1,318,473"	"1,321,182"	"1,322,687"	"1,328,743"	"1,330,111"	1334795	0.41%
.New Jersey	"8,803,729"	"8,841,243"	"8,873,211"	"8,899,162"	"8,925,001"	"8,935,421"	8944469	2.77%
.New Mexico	"2,064,756"	"2,077,756"	"2,083,784"	"2,085,193"	"2,083,024"	"2,080,328"	2081015	0.64%
.New York	"19,402,640"	"19,519,529"	"19,602,769"	"19,673,546"	"19,718,515"	"19,747,183"	19745289	6.11%
.North Carolina	"9,558,915"	"9,650,963"	"9,746,175"	"9,841,590"	"9,934,399"	"10,035,186"	10146788	3.14%
.North Dakota	"674,526"	"685,476"	"702,087"	"724,019"	"739,904"	"756,835"	757952	0.23%
.Ohio	"11,540,983"	"11,544,824"	"11,550,839"	"11,570,022"	"11,594,408"	"11,605,090"	11614373	3.59%
.Oklahoma	"3,759,603"	"3,786,274"	"3,817,054"	"3,852,415"	"3,877,499"	"3,907,414"	3923561	1.21%
.Oregon	"3,838,048"	"3,868,031"	"3,899,116"	"3,925,751"	"3,968,371"	"4,024,634"	4093465	1.27%
.Pennsylvania	"12,712,343"	"12,744,293"	"12,771,854"	"12,781,338"	"12,790,565"	"12,791,904"	12784227	3.96%
.Rhode Island	"1,053,337"	"1,052,451"	"1,052,901"	"1,053,033"	"1,054,480"	"1,055,607"	1056426	0.33%
.South Carolina	"4,635,943"	"4,672,637"	"4,720,760"	"4,767,894"	"4,828,430"	"4,894,834"	4961119	1.54%
.South Dakota	"816,325"	"824,398"	"834,441"	"844,922"	"852,561"	"857,919"	865454	0.27%
.Tennessee	"6,356,671"	"6,397,634"	"6,454,306"	"6,494,821"	"6,544,663"	"6,595,056"	6651194	2.06%
.Texas	"25,244,310"	"25,646,389"	"26,071,655"	"26,473,525"	"26,944,751"	"27,429,639"	27862596	8.62%
.Utah	"2,775,326"	"2,816,124"	"2,855,782"	"2,902,663"	"2,941,836"	"2,990,632"	3051217	0.94%
.Vermont	"625,982"	"626,730"	"626,444"	"627,140"	"626,984"	"626,088"	624594	0.19%
.Virginia	"8,025,773"	"8,110,035"	"8,192,048"	"8,262,692"	"8,317,372"	"8,367,587"	8411808	2.60%
.Washington	"6,743,226"	"6,822,520"	"6,895,226"	"6,968,006"	"7,054,196"	"7,160,290"	7288000	2.26%
.West Virginia	"1,854,230"	"1,854,972"	"1,856,560"	"1,853,231"	"1,848,514"	"1,841,053"	1831102	0.57%
.Wisconsin	"5,690,263"	"5,709,640"	"5,726,177"	"5,742,854"	"5,758,377"	"5,767,891"	5778708	1.79%
.Wyoming	"564,513"	"567,725"	"576,765"	"582,684"	"583,642"	"586,555"	585501	0.18%
