Department,last_name,first_name,#,lender_name,debt_type,min_amount,max_amount,year_incurred,rate,term
Department of Education,Cox-Roush,Deborah,2,Internal Revenue Service,Installment Agreement,15001,50000,2012,3%,on demand
Department of Education,Cox-Roush,Deborah,3,American Express,Credit Card,15001,50000,2012,16.74%,revolving credit
Environmental Protection Agency,Davis,Patrick,1,American Express,Credit Card,15001,50000,2016,15.74,revolving credit
White House,Delrahim,Makan,1,Lafayette Federal Credict Union,Mortgage (investment/ren tal property),100001,250000,2006,2.5,30 YR- ARM
White House,Delrahim,Makan,2,Nationstar Mortgage,Mortgage (investment/ren tal property),100001,250000,2005,5,30 YR
White House,Delrahim,Makan,3,Nationstar Mortgage,Mortgage (investment/ren tal property),100001,250000,2010,4.375,30YR
White House,Delrahim,Makan,4,Senate Federal Credit Union,HELOC,250001,500000,2013,5,10 YR
White House,Delrahim,Makan,5,Charles Ruttkay,Mortgage (investment/ren tal property),250001,500000,2007,5,30 YR
White House,DeStefano,John,1,Chase,Mortgage (investment/ren tal property),100001,250000,2010,4.875,30
Department of Education,DeVos,Elisabeth P,1,"PNC Financial Services Group, Inc.",Personal Loan,1000000,,2015,3.77%,5 years
Department of Education,DeVos,Elisabeth P,2,SG Fund II LLC,Unfunded Capital Commitments,1000001,5000000,2015,0%,On Demand
Department of Education,DeVos,Elisabeth P,3,Lakeshore Capital Management LP,Exercised Line of Credit,1000000,,2016,0.74%,3 years
Department of Education,DeVos,Elisabeth P,4,"PNC Financial Services Group, Inc.",Credit Card,15001,50000,2016,7.40%,Revolving line
White House,Diaz-Rosillo,Carlos,1,Bank of America,Mortgage (investment/ren tal property),100001,250000,2009,4.75,30
White House,Diaz-Rosillo,Carlos,2,HUECU,Mortgage (investment/ren tal property),100001,250000,2009,4.625,30
White House,Donaldson,Ann,1,Citibank NA,Student Loan,10001,15000,2008,2.250% (variable),20 years
White House,Donaldson,Ann,2,Chase Bank,Student Loan,15001,50000,2009,3.67% (variable),236 Months
White House,Donaldson,Ann,3,US Department of Education,Student Loan,15001,50000,2004,4.63%,20 years
White House,Donaldson,Ann,4,Citibank NA,Student Loan,15001,50000,2004,2.625% (variable),20 years
Environmental Protection Agency,Dravis,Samantha,1,Navient,Student Loan,10001,15000,2012,6.8,10 years
Environmental Protection Agency,Dravis,Samantha,2,Navient,Student Loan,10001,15000,2012,6.8,10 years
Environmental Protection Agency,Dravis,Samantha,3,Navient,Student Loan,15001,50000,2012,7.9,10 years
Department of Education,Eck,Kevin,1,Citibank N.A.,Credit Card,10001,15000,2009,8.24,Revolving
White House,Eisenberg,John,1,PHH Mortgage Svcs,Mortgage (investment/ren tal property),50001,100000,2003,5.81,15 years
White House,Eisenberg,John,2,JP Morgan Chase Bank N.A.,Student Loan,50001,100000,2010,4.75%,10 years
White House,Ellis,Michael,1,FedLoan Servicing,Student Loan,10001,15000,2009,6.55% to 8.25%,117 to 119 months
White House,Ellis,Michael,2,Navient,Student Loan,10001,15000,2008,6.55% to 7.90%,120 months
White House,Epshteyn,Boris,1,Great Lakes T.H.E. Program USB Trustee,Student Loan,50001,100000,2004,Avg. 3.5%,Graduated
White House,Epshteyn,Boris,2,Great Lakes T.H.E. Consul USB as Trustee,Student Loan,15001,50000,2005,2.88%,Level
White House,Ferre,Helen,1,Zwizker & Assoc. PC,Student Loan Co-Signer (Collection Agency),10001,15000,2010,N/A,N/A
White House,Flynn,Michael,1,Bank of America,Mortgage (investment property),250001,500000,2014,3.88% fixed,15 years
White House,Flynn,Michael,2,Amerihome (formerly Equity Loans),Mortgage (personal residence),500001,1000000,2016,3.25% fixed,30 years
White House,Flynn,Michael,3,Merrill Lynch,Exercised Line of Credit,15001,50000,2016,4.64% variable,N/A
Department of Education,Frendewey,Matthew,1,Navient,Student Loan,15001,50000,2005,6.50%,10 years
White House,Gast,Scott,1,Navient,Student Loan,10001,15000,2002,2.25%,301 Months
White House,Goldschmidt,Abe E,1,US Dep't of Education,Student Loan,100001,250000,2012,7%,15 Years
White House,Goldschmidt,Abe E,2,American Express,Credit Card,10001,15000,2012,10%,Revolving
White House,Goldschmidt,Abe E,3,Navient,Student Loan,100001,250000,2012,7%,30yrs
Environmental Protection Agency,Greaves,Holly,1,Prosperity Home Loan,Mortgage (investment/ren tal property),500001,1000000,2015,3.75,30 year
Environmental Protection Agency,Greaves,Holly,2,Caliber Home Loans,Mortgage (investment/ren tal property),500001,1000000,2016,4,30 years
United States Agency for International Development,Green,Mark Andrew,1,Wells Fargo Home Mortgage,Mortgage on Personal Residence,250001,500000,2013,3.5,30
White House,Greenblatt,Jason,1,Raymond James,Exercised Line of Credit,250001,500000,2016,LIBOR + 3%,No term
White House,Gribbin,David,1,Cardinal Bank,Exercised Line of Credit,10001,15000,2015,1.90%,Rev.
Environmental Protection Agency,Gunasekara,Amanda,1,Chase Bank,Credit Card,10001,15000,2016,17,revolving
Environmental Protection Agency,Gunasekara,Amanda,2,Department of Education,Student Loan,100001,250000,2010,6.25,20 years
White House,Hagin,Joseph,1,Bank of America Vehicle Loan,Personal Loan,50001,100000,2016,2.50%,5 years
Department of Education,Ham,Holly,1,Morgan Stanley Bank,Exercised Line of Credit,50001,100000,2011,LIBOR + 3%,on demand
Department of Health and Human Services,Hargan,Eric D,1,Citibank,Personal Loan,10001,15000,2010,3.27%,8 years
Department of Health and Human Services,Hargan,Eric D,2,Bank of America,Credit Card,15001,50000,2014,19.49%,Revolving
Department of Health and Human Services,Hargan,Eric D,3,Citibank,Credit Card,15001,50000,2014,25.74%,Revolving
Department of Health and Human Services,Hargan,Eric D,4,Capaha Bank,Mortgage (investment/ren tal property),15001,50000,2014,4.75%,5 years
Department of Health and Human Services,Hargan,Eric D,5,Chase Bank,Credit Card,10001,15000,2014,15.74%,Revolving
Department of Health and Human Services,Hargan,Eric D,6,Fifth Third Bank,Mortgage on Personal Residence,500001,1000000,2013,3.25%,30 years
Department of Health and Human Services,Hargan,Eric D,7,Fifth Third Bank,Home Equity Loan on Personal Residence,50001,100000,2013,5.24%,8/25/2043
White House,Hassett,Kevin A,1,US Bank Home Mortgage,Mortgage on Personal Residence,50001,100000,2011,3.25,15 Year Fixed Rate
Department of the Treasury,Hauptman,Kyle,1,Commonwealth Bank of Australia,Mortgage (investment/ren tal property),50001,100000,2010,2.10%,25 years
Department of the Treasury,Hauptman,Kyle,2,BB&T,Mortgage (investment/ren tal property),100001,250000,2015,4.25,30 years
Department of the Treasury,Hauptman,Kyle,3,BB&T,Mortgage (investment/ren tal property),100001,250000,2015,4.25,30 years
Department of the Treasury,Hauptman,Kyle,4,Navient,Student Loan,10001,15000,2004,1.75,30 years
White House,Herndon,Charles C,1,American Express,Credit Card,15001,50000,2013,11.9,Revolving
White House,Herndon,Charles C,2,Citibank,Credit Card,10001,15000,2013,6.9,Revolving
White House,Herndon,Charles C,3,Chase,Credit Card,10001,15000,2013,6.9,Revolving
White House,Hiler,Jonathan,1,Common Bond,Student Loan,50001,100000,2015,4.99,10
Department of Education,Hudson,Alexandra,1,U.S. Department of Education,Student Loan,100001,250000,2015,3.40%,10 years
Department of Education,Jones,Amy L,1,U.S. Bank,Credit Card,10001,15000,2015,0%,N/A
Department of Education,Jones,Amy L,2,BB&T,Credit Card,10001,15000,2016,7.40%,N/A
White House,Juster,Kenneth,1,UBS Line of Credit,Exercised Line of Credit,1000001,5000000,2014,1.513,
White House,Karem,Michael J,1,FedLoan- Department of Education,Student Loan,10001,15000,2006,8,
Department of Housing and Urban Development,Kasper,Maren,1,Navient,Student Loan,10001,15000,2009,5.5,15
White House,Kellogg,Joseph K,1,Pen Fed Credit Union,Exercised Line of Credit,100001,250000,2003,3.25,on demand
White House,Kellogg,Joseph K,2,Pen Fed Credit Union,Mortgage on Personal Residence,500001,1000000,2003,3.25,30 year
White House,Kelly,John F,1,Bank of America,Mortgage (investment/ren tal property),15001,50000,2009,4.375,15 Years
White House,Kelly,John F,2,Bank of America,Mortgage on Personal Residence,100001,250000,2011,4.125,30 Years
White House,Kelly,John F,3,Wells Fargo,Mortgage on Personal Residence,100001,250000,2008,4.5,30 Years
White House,Kelly,John F,4,Caliber Home Loans,Mortgage on Personal Residence,500001,1000000,2016,3.6,30 Years
White House,Koenig,Andrew D,1,Key Bank,Student Loan,15001,50000,2005,5%,20 Years
White House,Koenig,Andrew D,2,Hillsdale College,Student Loan,10001,15000,2005,5%,15 years
Department of Education,Kossack,Andrew,1,Navient Corporation,Student Loan,15001,50000,2007,6.5,25
White House,Kushner,Jared,1,Valley National Bank,Unsecured line of credit,5000001,25000000,2015,PRIME+0.75%,revolving
White House,Kushner,Jared,2,Deutsche Bank,Unsecured line of credit,5000001,25000000,2015,LIBOR+2.5%,revolving
White House,Kushner,Jared,3,Bank of America,Unsecured line of credit,1000001,5000000,2016,LIBOR+2.5%,revolving
White House,Kushner,Jared,4,IDB Bank,Unsecured line of credit,1000001,5000000,2016,4.50%,revolving
White House,Kushner,Jared,5,New York Community Bank,Unsecured line of credit,1000001,5000000,2016,PRIME (3.25% F),revolving
White House,Kushner,Jared,6,Citi Group,Unsecured line of credit,1000001,5000000,2015,LIBOR+2.9%,revolving
White House,Kushner,Jared,7,Signature Bank,Unsecured line of credit,1000001,5000000,2016,PRIME+0.5% (4% F),revolving
White House,Kushner,Jared,8,Investors Savings Bank,Unsecured line of credit,1000001,5000000,2015,PRIME (3.25% F),revolving
White House,Kushner,Jared,9,Millington Bank,Unsecured line of credit,1000001,5000000,2016,PRIME (3.5% F),revolving
White House,Kushner,Jared,10,Signature Bank,Secured line of credit,1000001,5000000,2016,PRIME+0.5% (4% F),revolving
White House,Kushner,Jared,11,Bank of America,Note payable,1000001,5000000,2015,LIBOR+2.75%,6/15/2018
White House,Kushner,Jared,12,Visa,Credit Card,100001,250000,2008,13.74%,revolving
White House,Kushner,Jared,13,Visa,Credit Card,15001,50000,2008,13.74%,revolving
Export-Import Bank of the United States,Law,Jesse,1,Nelnet,Student Loan,15001,50000,2015,Prime + 2,120
Department of Education,Lee,Ebony Letise,1,Consolidated Direct Loans,Student Loan,15001,50000,2001,7.875,20 years
U.S. Trade and Development Agency,Leppert,Ryan,1,Sallie Mae,Student Loan,50001,100000,2015,10,120 months
White House,Liddell,Chris,1,Chase,Credit Card,15001,50000,2016,13.49%,Revolving
White House,Liddell,Chris,2,American Express #1,Credit Card,15001,50000,2016,15.49%,Revolving
White House,Liddell,Chris,3,American Express #2,Credit Card,50001,100000,2016,18.49%,Revolving
White House,Liddell,Chris,4,American Express,Credit Card,15001,50000,2016,Variable,Revolving
Federal Emergency Management Agency,Long,William B,1,Fifth Third Bank,Mortgage on Personal Residence,100001,250000,2011,4.25%,30 years
White House,Lotter,Marc E,1,JPMorganChase,Credit Card,10001,15000,2011,12.4,revolving
White House,Lotter,Marc E,2,JPMorganChase,Credit Card,10001,15000,2011,17.49,revolving
White House,Lotter,Marc E,3,Great Lakes Borrower Services,Student Loan,15001,50000,2013,6.4% - 7.2%,10 years
White House,Lotter,Marc E,4,Great Lakes Borrower Services,Student Loan,15001,50000,2013,6.4% - 7.2%,10 Years post graduation
Department of the Treasury,Maloney,Andrew,1,Chase,Mortgage on Personal Residence,1000001,5000000,2016,3.75,30 year
Department of the Treasury,Maloney,Andrew,2,Citizens One,Mortgage on Personal Residence,500001,1000000,2014,4.375,30 year
Department of the Treasury,Maloney,Andrew,3,Oppenheimer Credit Line,Exercised Line of Credit,1000000,,2014,3.75,Revolving
White House,Manigault,Omarosa,1,Consolidated Federal Student Loans,Student Loan,50001,100000,1998,5% - 7%,20 years
Department of Education,Manning,James,1,CHASE BANK,Credit Card,15001,50000,2014,18%,REVOLVING
White House,Marshall,Kirk R,1,Sallie Mae,Student Loan,100001,250000,2006,5%,30 years
White House,Marshall,Kirk R,2,Loan Depot,Personal Loan,10001,15000,2016,7%,36  months
White House,Matich,Nicholas T,1,Social Finance Inc.,Student Loan,50001,100000,2014,5,10 years
White House,McGahn,Donald F,1,PNC Bank,Exercised Line of Credit,100001,250000,2014,2.5,36 months
White House,McGinley,Bill,1,Navy Federal Credit Union,Personal Loan,10001,15000,2014,15.25,60 months
White House,McGinley,Bill,2,United States Automobile Association,Personal Loan,10001,15000,2013,10.49,72 months
White House,McGinley,Bill,3,United States Automobile Association,Personal Loan,10001,15000,2014,10.75,60 months
White House,Meeks,Daris,1,US Senate Federal Credit Union,Credit Card,15001,50000,2016,10.00%,revolving
White House,Meeks,Daris,2,American Education Services,Student Loan,15001,50000,2016,4.50%,347 months
White House,Meyer,Joyce Y,1,"Eagle Bancorp, Inc.",Business line of credit,15001,50000,2016,4.75%,annual renewal
White House,Meyer,Joyce Y,2,Former business partner (Michael Rubin),Business partner buyout loan,100001,250000,2015,3.83%,64 months
Department of the Treasury,Mkrtchian,Edgar,1,Citibank,Credit Card,10001,15000,2015,0% (promotional offer),no end date(interest free until July 2017)
Department of the Treasury,Mkrtchian,Edgar,2,University of Pennsylvania,Student Loan,10001,15000,2014,5,10 years
Department of the Treasury,Mkrtchian,Edgar,3,US Government,Student Loan,15001,50000,2016,6.31,10 years
Department of the Treasury,Mkrtchian,Edgar,4,US Government,Student Loan,15001,50000,2015,5.84,10 years
Department of the Treasury,Mkrtchian,Edgar,5,US Government,Student Loan,50001,100000,2015,6.84,10 years
Department of the Treasury,Mkrtchian,Edgar,6,US Government,Student Loan,15001,50000,2014,6.21,10 years
Department of the Treasury,Mkrtchian,Edgar,7,US Government,Student Loan,15001,50000,2014,7.21,10 years
Department of the Treasury,Mkrtchian,Edgar,8,US Government,Student Loan,10001,15000,2014,6.41,10 years
Department of the Treasury,Mkrtchian,Edgar,9,US Government,Student Loan,15001,50000,2013,5.41,10 years
Department of the Treasury,Mkrtchian,Edgar,10,US Government,Student Loan,50001,100000,2013,6.41,10 years
Department of the Treasury,Mkrtchian,Edgar,11,US Government,Student Loan,15001,50000,2012,6.8,10 years
Department of the Treasury,Mkrtchian,Edgar,12,US Government,Student Loan,50001,100000,2012,7.9,10 years
Department of the Treasury,Mkrtchian,Edgar,13,US Government,Student Loan,15001,50000,2011,6.8,10 years
Department of the Treasury,Mkrtchian,Edgar,14,US Government,Student Loan,15001,50000,2011,6.8,10 years
Department of the Treasury,Mkrtchian,Edgar,15,US Government,Student Loan,50001,100000,2011,7.9,10 years
Department of the Treasury,Mnuchin,Steven T,1,Citi,Credit Card,15001,50000,2016,15.49%,Revolving
Department of the Treasury,Mnuchin,Steven T,2,Dune Real Estate Partners,Capital Call,100001,250000,2005,NA,On demand
Department of the Treasury,Mnuchin,Steven T,3,Citibank (no longer outstanding),Personal Loan,5000001,25000000,2014,"2% until 2017, then LIBOR + 2.375%,",30 years
White House,Morgan,Matthew,1,United States Department of Education,Student Loan,50001,100000,2007,5.13%,2039
White House,Morgan,Matthew,2,United States Department of Education,Student Loan,15001,50000,2007,5.13%,2039
White House,Mulvaney,John M,1,Southern First Bank,Campaign Debt,50001,100000,2014,4%,Due Oct 2018
White House,Mulvaney,John M,2,Suntrust Mortgage,Mortgage on Personal Residence,100001,250000,2015,3.75%,Due May 2045
White House,Mulvaney,John M,3,Indian Land Ventures LLC,Mortgage (investment/ren tal property),1000001,5000000,2008,4%,Due/In Foreclosure
White House,Mulvaney,John M,4,Southern First Bank,Loan to Purchase Mortgage,1000001,5000000,2016,4%,Due April 2018
White House,Munisteri,Stephen P,1,Bank of America,Credit Card,15001,50000,2016,18.74,revolving
White House,Munisteri,Stephen P,2,American Express,Credit Card,15001,50000,2016,15.74,revolving
White House,Munisteri,Stephen P,3,Citibank,Credit Card,15001,50000,2016,15.74%,revolving
White House,Munisteri,Stephen P,4,Chase Bank,Credit Card,10001,15000,2016,13.74%,revolving
Environmental Protection Agency,Munoz,Charles,1,Great Lakes,Student Loan,15001,50000,2006,,30 years
White House,Navarro,Peter,1,Patriot Federal Bank,Mortgage (investment/ren tal property),250001,500000,2014,5%,30 years
White House,Navarro,Peter,2,Wells Fargo,Mortgage (investment/ren tal property),100001,250000,2016,5%,30
White House,Niceta,Anna C,1,Chase,Mortgage (investment/ren tal property),50001,100000,2001,5.75,30 Years
White House,O'Hara,Joan,1,Fed Loan Direct Student Plus Loan,Student Loan,50001,100000,2011,7.9,Monthly payments until fully repaid
White House,O'Hara,Joan,2,Fed Loan Direct Sub Consolidation Loan,Student Loan,15001,50000,2011,6.9,Monthly payments until fully repaid
White House,O'Hara,Joan,3,Fed Loan Direct Unsub Consolidation Loan,Student Loan,15001,50000,2011,6.9,Monthly payments until fully repaid
White House,O'Hara,Joan,4,Fed Loan Direct Unsub Consolidation Loan,Student Loan,50001,100000,2011,8.3,Monthly payments until fully repaid
White House,Olmem,Andrew,1,Navent,Student Loan,10001,15000,2001,3.875,30
White House,Paoletta,Mark,1,Citibank,capital account loan/ DLA Piper partnership,100001,250000,2012,1 month Libor plus 1.75%,5 years interest only
Department of Housing and Urban Development,Patenaude,Pamela H,1,Wells Fargo,Mortgage on Personal Residence,500001,1000000,2012,3.52,30
Department of Housing and Urban Development,Patenaude,Pamela H,2,Chase,Mortgage on Personal Residence,250001,500000,2015,3.875,30
Department of Housing and Urban Development,Patenaude,Pamela H,3,Suntrust,Exercised Line of Credit,100001,250000,2006,Variable,Revolving
Department of Agriculture,Perdue,George E,1,Citizens Bank of the South,Personal Loan,15001,50000,2016,2.25%,12/2017
Department of Agriculture,Perdue,George E,2,CB&T,Loan Guarantor 50%,500001,1000000,2013,3.25%,12/2021
Department of Agriculture,Perdue,George E,3,CB&T,Loan Guarantor 50%,500001,1000000,2013,3.25%,12/2021
Department of Agriculture,Perdue,George E,4,Morris Bank,Loan Guarantor,250001,500000,2016,4.45%,192 Months
Department of Energy,Perry,James Richard,1,USAA,Personal Loan,50001,100000,2015,2.65,5
Department of Energy,Perry,James Richard,2,Benchmark Mortgage,Mortgage (investment/ren tal property),100001,250000,2013,4.625,30
Department of Energy,Perry,James Richard,3,Vista Bank,Mortgage on Personal Residence,1000000,,2015,3.75,30
Department of Energy,Perry,James Richard,4,"Grey Rock Energy Fund, LP II",Capital Commitment,100001,250000,2016,n/a,over next 3 years
Department of Energy,Perry,James Richard,5,ED Financial Services,Student Loan,50001,100000,2002,3.875,20 years
Department of the Treasury,Phillips,Craig,1,Merrill Lynch,Margin Loan,1000001,5000000,2015,5.75%,NA
White House,Pitcock,Joshua,1,CapitalOne Bank,Mortgage on Personal Residence,250001,500000,2012,3.38%,15 years
White House,Pitcock,Joshua,2,Wells Fargo Bank,Exercised Line of Credit,250001,500000,2016,variable,30 years
Central Intelligence Agency,Pompeo,Michael R,1,Capitol Federal,Mortgage on Personal Residence,250001,500000,2009,3.50%,30 years
White House,Powell,Dina,1,Bridge St. 2016 L.P.,Capital Call,100001,250000,2016,N/A,On Demand
White House,Powell,Dina,2,"Broad Street Senior Credit Partners Employee Fund, L.P.",Capital Call,50001,100000,2015,N/A,On Demand
White House,Powell,Dina,3,Bridge St. 2011 L.P.,Capital Call,10001,15000,2011,N/A,On Demand
White House,Powell,Dina,4,CIP 2011 Partners L.P.,Capital Call,10001,15000,2011,N/A,On Demand
Environmental Protection Agency,Pruitt,Edward Scott,1,Bank of Oklahoma,Mortgage on Personal Residence,500001,1000000,2012,3.885,10 years
Department of Education,Reynolds,Cody,1,Sallie Mae,Student Loan,10001,15000,2016,10.25%,72 months
Department of Education,Reynolds,Cody,2,Great Lakes,Student Loan,15001,50000,2016,6.80%,10 year
Department of Transportation,Rosen,Jeffrey A,1,Citibank,Mortgage on Personal Residence,500001,1000000,2013,3.38%,30 years
Department of Transportation,Rosen,Jeffrey A,2,Citibank,Mortgage on Personal Residence,50001,100000,2013,3.5% fixed,3/1 yr ARM
Department of Commerce,Ross,Wilbur L,1,JP Morgan,Guarantee of Loan to Social Club,500001,1000000,2016,N/A,2-Year Fixed Term
Department of Commerce,Ross,Wilbur L,2,Formation8 Partners Entrepreneurs Fund II,Capital Commitment,15001,50000,2014,N/A,Life of fund
Department of Commerce,Ross,Wilbur L,3,"8VC Angel Fund I, L.P.",Capital Commitment,15001,50000,2016,N/A,Life of fund
Department of Commerce,Ross,Wilbur L,4,India Asset Recovery Associates LLC,Capital commitment,1000001,5000000,2006,N/A,Life of fund
Department of Commerce,Ross,Wilbur L,5,Starboard GP LTD,Capital Commitment,10001,15000,2013,N/A,Life of fund
Department of Commerce,Ross,Wilbur L,6,"Starboard WLR Associates, L.P.",Capital Commitment,1000001,5000000,2013,N/A,Life of fund
Department of Commerce,Ross,Wilbur L,7,WLR Conduit MM LLC,Capital Commitment,500001,1000000,2013,N/A,Life of fund
Department of Commerce,Ross,Wilbur L,8,WLR Mezzanine Associates LLC,Capital Commitment,100001,250000,2015,N/A,Life of fund
Department of Commerce,Ross,Wilbur L,9,WLR Nanotechnology,Capital Commitment,500001,1000000,2007,N/A,Life of fund
Department of Commerce,Ross,Wilbur L,10,WLR Recovery Associates IV LLC,Capital Commitment,5000001,25000000,2007,N/A,Life of fund
Department of Commerce,Ross,Wilbur L,11,WLR Recovery Associates V LLC,Capital Commitment,1000001,5000000,2010,N/A,Life of fund
Department of Commerce,Ross,Wilbur L,12,WLR/IVZ Mortgage Recovery Associates LLC,Capital Commitment,250001,500000,2009,N/A,Life of fund
Department of Commerce,Ross,Wilbur L,13,IMRF II Associates LLC,Capital Commitment,250001,500000,2016,N/A,Life of fund
Department of the Treasury,Rubinstein,Reed,1,Bank of America,Credit Card,15001,50000,2017,4,Revolving
Department of the Treasury,Sandoval,Camilo,1,Navient,Student Loan,15001,50000,2008,3,
Department of the Treasury,Sandoval,Camilo,2,Mohela,Student Loan,15001,50000,2008,3,
Department of Defense,Scher,Robert,1,Wells Fargo Home Mortgage,Mortgage on Personal Residence,250001,500000,2015,3.875,30 Year Fixec
White House,Schultz,James D,1,U.S. Department of Education,Student Loan,50001,100000,1998,6%,30 years
Environmental Protection Agency,Schwab,Justin,1,Fedloan Servicing,Student Loan,10001,15000,2012,6.55%,10 years
